Class ID	Preferred Label	Synonyms	Definitions	Obsolete	CUI	Semantic Types	Parents	Citation	Created in	deprecation_candidate	deprecation_comment	Documentation	Example	File extension	has format	has function	has identifier	has input	has output	has topic	hasHumanReadableId	http://data.bioontology.org/metadata/prefixIRI	http://edamontology.org/comment_handle	http://edamontology.org/next_id	http://purl.obolibrary.org/obo/date	http://purl.obolibrary.org/obo/edam#data	http://purl.obolibrary.org/obo/edam#edam	http://purl.obolibrary.org/obo/edam#events	http://purl.obolibrary.org/obo/edam#formats	http://purl.obolibrary.org/obo/edam#identifiers	http://purl.obolibrary.org/obo/edam#obsolete	http://purl.obolibrary.org/obo/edam#operations	http://purl.obolibrary.org/obo/edam#placeholder	http://purl.obolibrary.org/obo/edam#topics	http://purl.obolibrary.org/obo/idspace	http://purl.obolibrary.org/obo/is_anti_symmetric	http://purl.obolibrary.org/obo/is_metadata_tag	http://purl.obolibrary.org/obo/is_reflexive	http://purl.obolibrary.org/obo/is_symmetric	http://purl.obolibrary.org/obo/namespace	http://purl.obolibrary.org/obo/remark	http://purl.obolibrary.org/obo/transitive_over	http://purl.org/dc/elements/1.1/contributor	http://purl.org/dc/elements/1.1/creator	http://purl.org/dc/elements/1.1/format	http://purl.org/dc/elements/1.1/title	http://usefulinc.com/ns/doap#Version	http://www.geneontology.org/formats/oboInOwl#comment	http://www.geneontology.org/formats/oboInOwl#consider	http://www.geneontology.org/formats/oboInOwl#hasAlternativeId	http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym	http://www.geneontology.org/formats/oboInOwl#hasDbXRef	http://www.geneontology.org/formats/oboInOwl#hasDbXref	http://www.geneontology.org/formats/oboInOwl#hasDefinition	http://www.geneontology.org/formats/oboInOwl#hasExactSynonym	http://www.geneontology.org/formats/oboInOwl#hasHumanReadableId	http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym	http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym	http://www.geneontology.org/formats/oboInOwl#hasSubset	http://www.geneontology.org/formats/oboInOwl#inSubset	http://www.geneontology.org/formats/oboInOwl#isCyclic	http://www.geneontology.org/formats/oboInOwl#replacedBy	http://www.geneontology.org/formats/oboInOwl#savedBy	http://www.geneontology.org/formats/oboInOwl#SubsetProperty	http://xmlns.com/foaf/0.1/page	Information standard	is format of	is function of	is identifier of	is input of	is output of	is topic of	isdebtag	Media type	notRecommendedForAnnotation	Obsolete since	Old parent	Old related	Ontology used	Organisation	refactor_candidate	refactor_comment	Regular expression	Repository	thematic_editor
http://edamontology.org/data_0005	Resource type		A type of computational resource used in bioinformatics.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0005																											http://edamontology.org/data_2337					A type of computational resource used in bioinformatics.						http://purl.obolibrary.org/obo/edam#obsolete																beta12orEarlier									
http://edamontology.org/data_0006	Data	Data record|Data set|Datum	"Information, represented in an information artefact (data record) that is 'understandable' by dedicated computational tools that can use the data as input or produce it as output."	FALSE			http://www.w3.org/2002/07/owl#Thing		beta12orEarlier													data_0006																																"Information, represented in an information artefact (data record) that is 'understandable' by dedicated computational tools that can use the data as input or produce it as output."	Data record		Data set|Datum			http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data															TRUE										
http://edamontology.org/data_0007	Tool		"A bioinformatics package or tool, e.g. a standalone application or web service."	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0007																																"A bioinformatics package or tool, e.g. a standalone application or web service."						http://purl.obolibrary.org/obo/edam#obsolete		http://edamontology.org/data_0958														beta12orEarlier									
http://edamontology.org/data_0581	Database		"A digital data archive typically based around a relational model but sometimes using an object-oriented, tree or graph-based model."	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0581																																"A digital data archive typically based around a relational model but sometimes using an object-oriented, tree or graph-based model."						http://purl.obolibrary.org/obo/edam#obsolete		http://edamontology.org/data_0957														beta12orEarlier									
http://edamontology.org/data_0582	Ontology		"An ontology of biological or bioinformatics concepts and relations, a controlled vocabulary, structured glossary etc."	FALSE			http://edamontology.org/data_2353		beta12orEarlier													data_0582																																"An ontology of biological or bioinformatics concepts and relations, a controlled vocabulary, structured glossary etc."						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0583	Directory metadata		A directory on disk from which files are read.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0583																											http://edamontology.org/data_3106					A directory on disk from which files are read.						http://purl.obolibrary.org/obo/edam#obsolete																1.5									
http://edamontology.org/data_0831	MeSH vocabulary		Controlled vocabulary from National Library of Medicine. The MeSH thesaurus is used to index articles in biomedical journals for the Medline/PubMED databases.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0831																											http://edamontology.org/data_0582					Controlled vocabulary from National Library of Medicine. The MeSH thesaurus is used to index articles in biomedical journals for the Medline/PubMED databases.						http://purl.obolibrary.org/obo/edam#obsolete																beta12orEarlier									
http://edamontology.org/data_0832	HGNC vocabulary		Controlled vocabulary for gene names (symbols) from HUGO Gene Nomenclature Committee.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0832																											http://edamontology.org/data_0582					Controlled vocabulary for gene names (symbols) from HUGO Gene Nomenclature Committee.						http://purl.obolibrary.org/obo/edam#obsolete																beta12orEarlier									
http://edamontology.org/data_0835	UMLS vocabulary		Compendium of controlled vocabularies for the biomedical domain (Unified Medical Language System).	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0835																											http://edamontology.org/data_0582					Compendium of controlled vocabularies for the biomedical domain (Unified Medical Language System).						http://purl.obolibrary.org/obo/edam#obsolete																beta12orEarlier									
http://edamontology.org/data_0842	Identifier	ID|http://purl.org/dc/elements/1.1/identifier	"A text token, number or something else which identifies an entity, but which may not be persistent (stable) or unique (the same identifier may identify multiple things)."	FALSE			http://edamontology.org/data_0006		beta12orEarlier													data_0842																																"A text token, number or something else which identifies an entity, but which may not be persistent (stable) or unique (the same identifier may identify multiple things)."	ID		http://purl.org/dc/elements/1.1/identifier			http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#identifiers|http://purl.obolibrary.org/obo/edam#data															TRUE										
